IU_ID,IU_ID_Full
15429,CIV15429
15430,CIV15430
15442,CIV15442
15401,CIV15401
15463,CIV15463
15364,CIV15364
15362,CIV15362
15454,CIV15454
15433,CIV15433
15337,CIV15337
15335,CIV15335
15336,CIV15336
15334,CIV15334
15333,CIV15333
15417,CIV15417
15418,CIV15418
15340,CIV15340
15329,CIV15329
15338,CIV15338
58001,DJI58001
58002,DJI58002
58003,DJI58003
58004,DJI58004
58005,DJI58005
55001,EGY55001
55003,EGY55003
55002,EGY55002
55004,EGY55004
55005,EGY55005
55006,EGY55006
55007,EGY55007
55008,EGY55008
55009,EGY55009
55010,EGY55010
55011,EGY55011
55012,EGY55012
55013,EGY55013
55020,EGY55020
55014,EGY55014
55015,EGY55015
55017,EGY55017
55016,EGY55016
55027,EGY55027
55018,EGY55018
55019,EGY55019
55021,EGY55021
55023,EGY55023
55025,EGY55025
55026,EGY55026
55024,EGY55024
55022,EGY55022
16411,GNQ16411
16416,GNQ16416
16417,GNQ16417
16418,GNQ16418
16419,GNQ16419
16420,GNQ16420
16421,GNQ16421
16422,GNQ16422
16424,GNQ16424
16425,GNQ16425
16426,GNQ16426
16427,GNQ16427
16428,GNQ16428
16414,GNQ16414
16415,GNQ16415
16412,GNQ16412
16413,GNQ16413
16423,GNQ16423
17471,ERI17471
17448,ERI17448
17465,ERI17465
17432,ERI17432
17482,ERI17482
17464,ERI17464
17442,ERI17442
17476,ERI17476
17430,ERI17430
17449,ERI17449
17474,ERI17474
17433,ERI17433
17478,ERI17478
17434,ERI17434
17440,ERI17440
17486,ERI17486
17484,ERI17484
17435,ERI17435
17470,ERI17470
17445,ERI17445
17446,ERI17446
17473,ERI17473
17458,ERI17458
17472,ERI17472
17437,ERI17437
17480,ERI17480
17485,ERI17485
17444,ERI17444
17457,ERI17457
17469,ERI17469
17438,ERI17438
17436,ERI17436
17477,ERI17477
17483,ERI17483
17431,ERI17431
17460,ERI17460
17479,ERI17479
17466,ERI17466
17429,ERI17429
17456,ERI17456
17462,ERI17462
17461,ERI17461
17463,ERI17463
17468,ERI17468
17467,ERI17467
17447,ERI17447
17441,ERI17441
17451,ERI17451
17450,ERI17450
17481,ERI17481
17475,ERI17475
17443,ERI17443
17453,ERI17453
17452,ERI17452
17455,ERI17455
17454,ERI17454
17459,ERI17459
17439,ERI17439
45404,SWZ45404
45405,SWZ45405
45406,SWZ45406
45412,SWZ45412
45407,SWZ45407
45409,SWZ45409
45410,SWZ45410
45411,SWZ45411
45413,SWZ45413
45414,SWZ45414
45415,SWZ45415
45416,SWZ45416
45417,SWZ45417
45418,SWZ45418
45419,SWZ45419
45420,SWZ45420
45421,SWZ45421
45422,SWZ45422
45424,SWZ45424
45425,SWZ45425
45426,SWZ45426
45427,SWZ45427
45429,SWZ45429
45423,SWZ45423
45430,SWZ45430
45431,SWZ45431
45432,SWZ45432
45433,SWZ45433
45434,SWZ45434
45435,SWZ45435
45459,SWZ45459
45436,SWZ45436
45437,SWZ45437
45439,SWZ45439
45440,SWZ45440
45441,SWZ45441
45442,SWZ45442
45443,SWZ45443
45444,SWZ45444
45445,SWZ45445
45446,SWZ45446
45447,SWZ45447
45448,SWZ45448
45449,SWZ45449
45450,SWZ45450
45451,SWZ45451
45452,SWZ45452
45453,SWZ45453
45454,SWZ45454
45455,SWZ45455
45456,SWZ45456
45457,SWZ45457
45458,SWZ45458
45408,SWZ45408
45438,SWZ45438
20336,GAB20336
20358,GAB20358
20342,GAB20342
20370,GAB20370
20372,GAB20372
20356,GAB20356
20359,GAB20359
20368,GAB20368
20374,GAB20374
20346,GAB20346
20340,GAB20340
20353,GAB20353
20366,GAB20366
20343,GAB20343
20365,GAB20365
20371,GAB20371
20355,GAB20355
20363,GAB20363
20364,GAB20364
20328,GAB20328
20329,GAB20329
20347,GAB20347
20375,GAB20375
20378,GAB20378
20377,GAB20377
20361,GAB20361
20350,GAB20350
20349,GAB20349
20362,GAB20362
20367,GAB20367
20373,GAB20373
20345,GAB20345
20339,GAB20339
20369,GAB20369
20338,GAB20338
20348,GAB20348
20354,GAB20354
20341,GAB20341
20337,GAB20337
20376,GAB20376
20352,GAB20352
20351,GAB20351
20344,GAB20344
20357,GAB20357
20335,GAB20335
20334,GAB20334
20360,GAB20360
20331,GAB20331
20332,GAB20332
20333,GAB20333
20330,GAB20330
21605,GHA21605
21380,GHA21380
21607,GHA21607
21382,GHA21382
21609,GHA21609
21384,GHA21384
21611,GHA21611
21388,GHA21388
21386,GHA21386
21387,GHA21387
21389,GHA21389
21390,GHA21390
21391,GHA21391
21392,GHA21392
21393,GHA21393
21394,GHA21394
21395,GHA21395
21614,GHA21614
21397,GHA21397
21621,GHA21621
21399,GHA21399
21400,GHA21400
21378,GHA21378
21624,GHA21624
21403,GHA21403
21402,GHA21402
21407,GHA21407
21404,GHA21404
21405,GHA21405
21406,GHA21406
21604,GHA21604
21606,GHA21606
21608,GHA21608
21622,GHA21622
21610,GHA21610
21616,GHA21616
21613,GHA21613
21615,GHA21615
21617,GHA21617
21623,GHA21623
21618,GHA21618
21619,GHA21619
21620,GHA21620
21408,GHA21408
21409,GHA21409
21411,GHA21411
21412,GHA21412
21413,GHA21413
21414,GHA21414
21626,GHA21626
21416,GHA21416
21417,GHA21417
21418,GHA21418
21419,GHA21419
21420,GHA21420
21421,GHA21421
21422,GHA21422
21423,GHA21423
21424,GHA21424
21628,GHA21628
21427,GHA21427
21428,GHA21428
21429,GHA21429
21430,GHA21430
21431,GHA21431
21432,GHA21432
21433,GHA21433
21434,GHA21434
21435,GHA21435
21436,GHA21436
21625,GHA21625
21627,GHA21627
21437,GHA21437
21438,GHA21438
21439,GHA21439
21440,GHA21440
21441,GHA21441
21630,GHA21630
21443,GHA21443
21445,GHA21445
21444,GHA21444
21446,GHA21446
21447,GHA21447
21448,GHA21448
21632,GHA21632
21450,GHA21450
21451,GHA21451
21453,GHA21453
21455,GHA21455
21454,GHA21454
21456,GHA21456
21457,GHA21457
21629,GHA21629
21631,GHA21631
21472,GHA21472
21473,GHA21473
21634,GHA21634
21459,GHA21459
21460,GHA21460
21461,GHA21461
21636,GHA21636
21463,GHA21463
21638,GHA21638
21465,GHA21465
21640,GHA21640
21468,GHA21468
21642,GHA21642
21643,GHA21643
21471,GHA21471
21474,GHA21474
21476,GHA21476
21477,GHA21477
21478,GHA21478
21646,GHA21646
21480,GHA21480
21481,GHA21481
21482,GHA21482
21483,GHA21483
21484,GHA21484
21485,GHA21485
21641,GHA21641
21637,GHA21637
21635,GHA21635
21644,GHA21644
21645,GHA21645
21633,GHA21633
21656,GHA21656
21488,GHA21488
21489,GHA21489
21490,GHA21490
21487,GHA21487
21492,GHA21492
21493,GHA21493
21658,GHA21658
21660,GHA21660
21496,GHA21496
21498,GHA21498
21497,GHA21497
21662,GHA21662
21500,GHA21500
21501,GHA21501
21664,GHA21664
21648,GHA21648
21649,GHA21649
21651,GHA21651
21652,GHA21652
21653,GHA21653
21659,GHA21659
21661,GHA21661
21655,GHA21655
21657,GHA21657
21503,GHA21503
21665,GHA21665
21505,GHA21505
21506,GHA21506
21670,GHA21670
21508,GHA21508
21509,GHA21509
21510,GHA21510
21511,GHA21511
21512,GHA21512
21513,GHA21513
21514,GHA21514
21515,GHA21515
21516,GHA21516
21517,GHA21517
21518,GHA21518
21519,GHA21519
21668,GHA21668
21521,GHA21521
21523,GHA21523
21524,GHA21524
21525,GHA21525
21526,GHA21526
21527,GHA21527
21528,GHA21528
21529,GHA21529
21667,GHA21667
21666,GHA21666
21530,GHA21530
21531,GHA21531
21532,GHA21532
21672,GHA21672
21534,GHA21534
21536,GHA21536
21537,GHA21537
21673,GHA21673
21539,GHA21539
21540,GHA21540
21541,GHA21541
21542,GHA21542
21543,GHA21543
21671,GHA21671
21674,GHA21674
21544,GHA21544
21545,GHA21545
21546,GHA21546
21547,GHA21547
21548,GHA21548
21549,GHA21549
21550,GHA21550
21551,GHA21551
