"IU_ID","IU_ID_Full","IU_CODE"
6383,"BDI06383","BDI0070406383"
6385,"BDI06385","BDI0070406385"
6404,"BDI06404","BDI0071106404"
6403,"BDI06403","BDI0071106403"
6416,"BDI06416","BDI0071606416"
6415,"BDI06415","BDI0071606415"
6407,"BDI06407","BDI0071306407"
6401,"BDI06401","BDI0071006401"
6425,"BDI06425","BDI0071706425"
6417,"BDI06417","BDI0071706417"
6409,"BDI06409","BDI0071306409"
6394,"BDI06394","BDI0070806394"
6392,"BDI06392","BDI0070706392"
6414,"BDI06414","BDI0071506414"
6412,"BDI06412","BDI0071506412"
6413,"BDI06413","BDI0071506413"
6402,"BDI06402","BDI0071006402"
6400,"BDI06400","BDI0071006400"
6408,"BDI06408","BDI0071306408"
6399,"BDI06399","BDI0071006399"
6423,"BDI06423","BDI0070606423"
6422,"BDI06422","BDI0070606422"
6375,"BDI06375","BDI0070106375"
6397,"BDI06397","BDI0070906397"
6384,"BDI06384","BDI0070406384"
6398,"BDI06398","BDI0070906398"
6396,"BDI06396","BDI0070906396"
6420,"BDI06420","BDI0070206420"
6421,"BDI06421","BDI0070606421"
9665,"CAF09665","CAF0964909665"
9663,"CAF09663","CAF0964909663"
9671,"CAF09671","CAF0965009671"
9669,"CAF09669","CAF0965009669"
9666,"CAF09666","CAF0965009666"
9668,"CAF09668","CAF0965009668"
9674,"CAF09674","CAF0965609674"
9675,"CAF09675","CAF0965609675"
9672,"CAF09672","CAF0965609672"
9681,"CAF09681","CAF0965209681"
9683,"CAF09683","CAF0965209683"
9679,"CAF09679","CAF0965609679"
9678,"CAF09678","CAF0965609678"
9673,"CAF09673","CAF0965609673"
9676,"CAF09676","CAF0965609676"
9686,"CAF09686","CAF0965909686"
9684,"CAF09684","CAF0965909684"
9685,"CAF09685","CAF0965909685"
9689,"CAF09689","CAF0965109689"
9688,"CAF09688","CAF0965109688"
9692,"CAF09692","CAF0965109692"
9662,"CAF09662","CAF0964909662"
9680,"CAF09680","CAF0965209680"
9661,"CAF09661","CAF0964909661"
9664,"CAF09664","CAF0964909664"
9682,"CAF09682","CAF0965209682"
9691,"CAF09691","CAF0965109691"
9687,"CAF09687","CAF0965109687"
9667,"CAF09667","CAF0965009667"
9690,"CAF09690","CAF0965109690"
9677,"CAF09677","CAF0965609677"
9670,"CAF09670","CAF0965009670"
9695,"CAF09695","CAF0966009695"
9693,"CAF09693","CAF0966009693"
9694,"CAF09694","CAF0966009694"
11744,"COM11744","COM0128411744"
11753,"COM11753","COM0128511753"
11755,"COM11755","COM0128611755"
11745,"COM11745","COM0128411745"
11746,"COM11746","COM0128411746"
11747,"COM11747","COM0128511747"
11748,"COM11748","COM0128511748"
11749,"COM11749","COM0128511749"
11750,"COM11750","COM0128511750"
11751,"COM11751","COM0128511751"
11754,"COM11754","COM0128611754"
11756,"COM11756","COM0128611756"
11757,"COM11757","COM0128611757"
11758,"COM11758","COM0128611758"
11759,"COM11759","COM0128611759"
11760,"COM11760","COM0128611760"
11752,"COM11752","COM0128511752"
15342,"CIV15342","CIV0160915342"
15419,"CIV15419","CIV0162815419"
15443,"CIV15443","CIV0161015443"
15441,"CIV15441","CIV0161015441"
15367,"CIV15367","CIV0163515367"
15368,"CIV15368","CIV0161815368"
15370,"CIV15370","CIV0163515370"
15437,"CIV15437","CIV0161615437"
15434,"CIV15434","CIV0161915434"
15372,"CIV15372","CIV0161915372"
15435,"CIV15435","CIV0162415435"
15436,"CIV15436","CIV0162415436"
15377,"CIV15377","CIV0162415377"
15378,"CIV15378","CIV0162415378"
15348,"CIV15348","CIV0161215348"
15350,"CIV15350","CIV0163915350"
15347,"CIV15347","CIV0161215347"
15344,"CIV15344","CIV0162815344"
15330,"CIV15330","CIV0162115330"
15345,"CIV15345","CIV0160915345"
15331,"CIV15331","CIV0162115331"
15332,"CIV15332","CIV0162115332"
15388,"CIV15388","CIV0163015388"
15389,"CIV15389","CIV0163015389"
15390,"CIV15390","CIV0163015390"
15355,"CIV15355","CIV0162215355"
15406,"CIV15406","CIV0163715406"
15408,"CIV15408","CIV0163715408"
15407,"CIV15407","CIV0163715407"
15357,"CIV15357","CIV0162215357"
15356,"CIV15356","CIV0161515356"
15360,"CIV15360","CIV0161515360"
15379,"CIV15379","CIV0162615379"
15381,"CIV15381","CIV0162615381"
15380,"CIV15380","CIV0162615380"
15446,"CIV15446","CIV0163115446"
15447,"CIV15447","CIV0163115447"
15448,"CIV15448","CIV0163115448"
15394,"CIV15394","CIV0163315394"
15395,"CIV15395","CIV0162515395"
15449,"CIV15449","CIV0161115449"
15450,"CIV15450","CIV0161115450"
15400,"CIV15400","CIV0163615400"
15455,"CIV15455","CIV0163415455"
15464,"CIV15464","CIV0163415464"
15438,"CIV15438","CIV0161615438"
15387,"CIV15387","CIV0162915387"
15385,"CIV15385","CIV0162915385"
15386,"CIV15386","CIV0161815386"
15411,"CIV15411","CIV0162915411"
15402,"CIV15402","CIV0163615402"
15404,"CIV15404","CIV0163615404"
15456,"CIV15456","CIV0163615456"
15457,"CIV15457","CIV0163615457"
15431,"CIV15431","CIV0161715431"
15432,"CIV15432","CIV0161715432"
15375,"CIV15375","CIV0162315375"
15374,"CIV15374","CIV0162315374"
15373,"CIV15373","CIV0162315373"
15461,"CIV15461","CIV0163815461"
15462,"CIV15462","CIV0163815462"
15421,"CIV15421","CIV0162015421"
15422,"CIV15422","CIV0162015422"
15424,"CIV15424","CIV0161415424"
15425,"CIV15425","CIV0161415425"
15353,"CIV15353","CIV0161415353"
15427,"CIV15427","CIV0162015427"
15426,"CIV15426","CIV0162015426"
15428,"CIV15428","CIV0162015428"
15420,"CIV15420","CIV0162815420"
15460,"CIV15460","CIV0161315460"
15366,"CIV15366","CIV0163215366"
15343,"CIV15343","CIV0162815343"
15393,"CIV15393","CIV0162515393"
15396,"CIV15396","CIV0162515396"
15361,"CIV15361","CIV0161715361"
15365,"CIV15365","CIV0161715365"
15423,"CIV15423","CIV0161415423"
15414,"CIV15414","CIV0163215414"
15412,"CIV15412","CIV0163215412"
15413,"CIV15413","CIV0163215413"
15346,"CIV15346","CIV0160915346"
15349,"CIV15349","CIV0161215349"
15444,"CIV15444","CIV0163315444"
15445,"CIV15445","CIV0163315445"
15359,"CIV15359","CIV0162215359"
15405,"CIV15405","CIV0163715405"
15459,"CIV15459","CIV0161315459"
15458,"CIV15458","CIV0161315458"
15440,"CIV15440","CIV0162715440"
15439,"CIV15439","CIV0162715439"
15453,"CIV15453","CIV0163415453"
15452,"CIV15452","CIV0163615452"
15451,"CIV15451","CIV0163615451"
15429,"CIV15429","CIV0161515429"
15430,"CIV15430","CIV0161515430"
15442,"CIV15442","CIV0161015442"
15401,"CIV15401","CIV0161115401"
15463,"CIV15463","CIV0163415463"
15364,"CIV15364","CIV0161715364"
15362,"CIV15362","CIV0161715362"
15454,"CIV15454","CIV0163415454"
15433,"CIV15433","CIV0161915433"
15337,"CIV15337","CIV0160715337"
15335,"CIV15335","CIV0160715335"
15336,"CIV15336","CIV0160715336"
15334,"CIV15334","CIV0160715334"
15333,"CIV15333","CIV0160715333"
15417,"CIV15417","CIV0160815417"
15418,"CIV15418","CIV0160815418"
15340,"CIV15340","CIV0160815340"
15329,"CIV15329","CIV0160815329"
15338,"CIV15338","CIV0160815338"
58001,"DJI58001","DJI0580158001"
58002,"DJI58002","DJI0580258002"
58003,"DJI58003","DJI0580358003"
58004,"DJI58004","DJI0580458004"
58005,"DJI58005","DJI0580558005"
55001,"EGY55001","EGY0550155001"
55003,"EGY55003","EGY0550355003"
55002,"EGY55002","EGY0550255002"
55004,"EGY55004","EGY0550455004"
55005,"EGY55005","EGY0550555005"
55006,"EGY55006","EGY0550655006"
55007,"EGY55007","EGY0550755007"
55008,"EGY55008","EGY0550855008"
55009,"EGY55009","EGY0550955009"
55010,"EGY55010","EGY0551055010"
55011,"EGY55011","EGY0551155011"
55012,"EGY55012","EGY0551255012"
55013,"EGY55013","EGY0551355013"
55020,"EGY55020","EGY0552055020"
55014,"EGY55014","EGY0551455014"
55015,"EGY55015","EGY0551555015"
55017,"EGY55017","EGY0551755017"
55016,"EGY55016","EGY0551655016"
55027,"EGY55027","EGY0552755027"
55018,"EGY55018","EGY0551855018"
55019,"EGY55019","EGY0551955019"
55021,"EGY55021","EGY0552155021"
55023,"EGY55023","EGY0552355023"
55025,"EGY55025","EGY0552555025"
55026,"EGY55026","EGY0552655026"
55024,"EGY55024","EGY0552455024"
55022,"EGY55022","EGY0552255022"
16411,"GNQ16411","GNQ0172816411"
16416,"GNQ16416","GNQ0173116416"
16417,"GNQ16417","GNQ0173116417"
16418,"GNQ16418","GNQ0173116418"
16419,"GNQ16419","GNQ0173216419"
16420,"GNQ16420","GNQ0173216420"
16421,"GNQ16421","GNQ0173216421"
16422,"GNQ16422","GNQ0173316422"
16424,"GNQ16424","GNQ0173316424"
16425,"GNQ16425","GNQ0173416425"
16426,"GNQ16426","GNQ0173416426"
16427,"GNQ16427","GNQ0173416427"
16428,"GNQ16428","GNQ0173416428"
16414,"GNQ16414","GNQ0173016414"
16415,"GNQ16415","GNQ0173016415"
16412,"GNQ16412","GNQ0172916412"
16413,"GNQ16413","GNQ0172916413"
16423,"GNQ16423","GNQ0173316423"
17471,"ERI17471","ERI0183917471"
17448,"ERI17448","ERI0183617448"
17465,"ERI17465","ERI0183817465"
17432,"ERI17432","ERI0183517432"
17482,"ERI17482","ERI0184017482"
17464,"ERI17464","ERI0183817464"
17442,"ERI17442","ERI0183617442"
17476,"ERI17476","ERI0183917476"
17430,"ERI17430","ERI0183517430"
17449,"ERI17449","ERI0183617449"
17474,"ERI17474","ERI0183917474"
17433,"ERI17433","ERI0183517433"
17478,"ERI17478","ERI0184017478"
17434,"ERI17434","ERI0183517434"
17440,"ERI17440","ERI0183617440"
17486,"ERI17486","ERI0184017486"
17484,"ERI17484","ERI0184017484"
17435,"ERI17435","ERI0183517435"
17470,"ERI17470","ERI0183917470"
17445,"ERI17445","ERI0183617445"
17446,"ERI17446","ERI0183617446"
17473,"ERI17473","ERI0183917473"
17458,"ERI17458","ERI0183817458"
17472,"ERI17472","ERI0183917472"
17437,"ERI17437","ERI0183517437"
17480,"ERI17480","ERI0184017480"
17485,"ERI17485","ERI0184017485"
17444,"ERI17444","ERI0183617444"
17457,"ERI17457","ERI0183817457"
17469,"ERI17469","ERI0183817469"
17438,"ERI17438","ERI0183517438"
17436,"ERI17436","ERI0183517436"
17477,"ERI17477","ERI0184017477"
17483,"ERI17483","ERI0184017483"
17431,"ERI17431","ERI0183517431"
17460,"ERI17460","ERI0183817460"
17479,"ERI17479","ERI0184017479"
17466,"ERI17466","ERI0183817466"
17429,"ERI17429","ERI0183517429"
17456,"ERI17456","ERI0183817456"
17462,"ERI17462","ERI0183817462"
17461,"ERI17461","ERI0183817461"
17463,"ERI17463","ERI0183817463"
17468,"ERI17468","ERI0183817468"
17467,"ERI17467","ERI0183817467"
17447,"ERI17447","ERI0183617447"
17441,"ERI17441","ERI0183617441"
17451,"ERI17451","ERI0183617451"
17450,"ERI17450","ERI0183617450"
17481,"ERI17481","ERI0184017481"
17475,"ERI17475","ERI0183917475"
17443,"ERI17443","ERI0183617443"
17453,"ERI17453","ERI0183717453"
17452,"ERI17452","ERI0183717452"
17455,"ERI17455","ERI0183717455"
17454,"ERI17454","ERI0183717454"
17459,"ERI17459","ERI0183817459"
17439,"ERI17439","ERI0183517439"
45404,"SWZ45404","SWZ0468245404"
45405,"SWZ45405","SWZ0468245405"
45406,"SWZ45406","SWZ0468245406"
45412,"SWZ45412","SWZ0468245412"
45407,"SWZ45407","SWZ0468245407"
45409,"SWZ45409","SWZ0468245409"
45410,"SWZ45410","SWZ0468245410"
45411,"SWZ45411","SWZ0468245411"
45413,"SWZ45413","SWZ0468245413"
45414,"SWZ45414","SWZ0468245414"
45415,"SWZ45415","SWZ0468245415"
45416,"SWZ45416","SWZ0468245416"
45417,"SWZ45417","SWZ0468245417"
45418,"SWZ45418","SWZ0468345418"
45419,"SWZ45419","SWZ0468345419"
45420,"SWZ45420","SWZ0468345420"
45421,"SWZ45421","SWZ0468345421"
45422,"SWZ45422","SWZ0468345422"
45424,"SWZ45424","SWZ0468345424"
45425,"SWZ45425","SWZ0468345425"
45426,"SWZ45426","SWZ0468345426"
45427,"SWZ45427","SWZ0468345427"
45429,"SWZ45429","SWZ0468345429"
45423,"SWZ45423","SWZ0468345423"
45430,"SWZ45430","SWZ0468445430"
45431,"SWZ45431","SWZ0468445431"
