"IUID","MDACov_2000","MDACov_2001","MDACov_2002","MDACov_2003","MDACov_2004","MDACov_2005","MDACov_2006","MDACov_2007","MDACov_2008","MDACov_2009","MDACov_2010","MDACov_2011","MDACov_2012","MDACov_2013","MDACov_2014","MDACov_2015","MDACov_2016","MDACov_2017","MDACov_2018","MDACov_2019","MDACov_2020","MDACov_2021","MDACov_2022"
"BEN03251","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03255","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","15A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03250","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03232","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03229","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","00x.xxx","65A.xIA","15A.xIA","15A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03271","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","15A.xIA","65A.xIA","15A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03252","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03225","00x.xxx","00x.xxx","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03279","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","15A.xIA","65A.xIA","15A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
"BEN03257","00x.xxx","00x.xxx","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","65A.xIA","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx","00x.xxx"
