"IUID","Region"
"NGA36728",3
"NGA36729",3
"NGA36730",3
"NGA36731",3
"NGA36732",3
"NGA36733",3
"NGA36734",3
"NGA36735",3
"NGA36736",3
"NGA36737",3
"NGA36738",3
"NGA36739",3
"NGA36740",3
"NGA36741",3
"NGA36742",3
"NGA36743",3
"NGA36744",3
"NGA36745",3
"NGA36746",3
"NGA36747",3
"NGA36748",3
"NGA36749",3
"NGA36801",3
"NGA36804",3
"NGA36806",3
"NGA36807",3
"NGA36808",3
"NGA36813",3
"NGA36814",3
"NGA36816",3
"NGA36820",3
"NGA36821",3
"NGA36822",3
"NGA36823",3
"NGA36824",3
"NGA36826",3
"NGA36828",3
"NGA36830",3
"NGA36833",3
"NGA36835",3
"NGA36836",3
"NGA36837",3
"NGA36838",3
"NGA36840",3
"NGA36857",3
"NGA36859",3
"NGA36861",3
"NGA36881",3
"NGA36885",3
"NGA36886",3
"NGA36887",3
"NGA36888",3
"NGA36889",3
"NGA36890",3
"NGA36905",3
"NGA36907",3
"NGA36909",3
"NGA36912",3
"NGA36913",3
"NGA36914",3
"NGA36916",3
"NGA36918",3
"NGA36919",3
"NGA36920",3
"NGA36922",3
"NGA36923",3
"NGA36921",3
"NGA36924",3
"NGA36926",3
"NGA36927",3
"NGA36932",3
"NGA36933",3
"NGA36934",3
"NGA36935",3
"NGA36936",3
"NGA36937",3
"NGA36941",3
"NGA36938",3
"NGA37019",3
"NGA37066",3
"NGA37067",3
"NGA37068",3
"NGA37069",3
"NGA37070",3
"NGA37071",3
"NGA37072",3
"NGA37073",3
"NGA37077",3
"NGA37078",3
"NGA37079",3
"NGA37080",3
"NGA37082",3
"NGA37084",3
"NGA37086",3
"NGA37087",3
"NGA37089",3
"NGA37090",3
"NGA37091",3
"NGA37092",3
"NGA37095",3
"NGA37096",3
"NGA37097",3
"NGA37098",3
"NGA37099",3
"NGA37100",3
"NGA37101",3
"NGA37102",3
"NGA37103",3
"NGA37104",3
"TCD10766",3
"TCD10775",3
"TCD10780",3
"TCD10699",3
"TCD10700",3
"TCD10769",3
"TCD10765",3
"TCD10696",3
"TCD10734",3
"TCD10701",3
"TCD10717",3
"TCD10702",3
"TCD10759",3
"TCD10718",3
"TCD10703",3
"TCD10767",3
"TCD10735",3
"TCD10704",3
"TCD10714",3
"TCD10776",3
"TCD10768",3
"TCD10736",3
"TCD10777",3
"TCD10773",3
"TCD10781",3
"TCD10709",3
"TCD10719",3
"TCD10737",3
"TCD10697",3
"TCD10705",3
"TCD10774",3
"TCD10750",3
"TCD10698",3
"TCD10720",3
"TCD10782",3
"TCD10790",3
"CMR07591",3
"GNQ16416",4
"GNQ16417",4
"GNQ16418",4
"GNQ16419",4
"GNQ16420",4
"GNQ16421",4
"GNQ16422",4
"GNQ16424",4
"GNQ16425",4
"GNQ16426",4
"GNQ16427",4
"GNQ16428",4
"GNQ16423",4
"GAB20358",4
"GAB20356",4
"GAB20368",4
"GAB20353",4
"GAB20366",4
"GAB20365",4
"GAB20363",4
"GAB20364",4
"GAB20347",4
"GAB20350",4
"GAB20349",4
"GAB20367",4
"GAB20369",4
"GAB20338",4
"GAB20354",4
"GAB20352",4
"GAB20351",4
"GAB20333",4
"COG12828",4
"COG12789",4
"COG12822",4
"COG12823",4
"COG12836",4
"COG12775",4
"COG12814",4
"COG12768",4
"COG12791",4
"COG12763",4
"COG12765",4
"COG12835",4
"COG12813",4
"COD14057",4
"COD14044",4
"COD14018",4
"COD14036",4
"COD14056",4
"COD14034",4
"COD14012",4
"COD14039",4
"COD14040",4
"COD14010",4
"COD14004",4
"COD14340",4
"COD13997",4
"COD13968",4
"COD13979",4
"COD13906",4
"COD13869",4
"COD13897",4
"COD13881",4
"COD13874",4
"COD13994",4
"COD13857",4
"COD13822",4
"COD13820",4
"COD13827",4
"COD13829",4
"COD13823",4
"COD13816",4
"COD13818",4
"COD13825",4
"COD14285",4
"COD14276",4
"COD14226",4
"COD14227",4
"COD14228",4
"COD14292",4
"COD14290",4
"COD14289",4
"COD14244",4
"COD14293",4
"COD14225",4
"COD14223",4
"COD14222",4
"COD14234",4
"COD13824",4
"COD13893",4
"COD13835",4
"COD13923",4
"COD13933",4
"COD13937",4
"COD13919",4
"COD13932",4
"COD13911",4
"COD13927",4
"COD13955",4
"COD14259",4
"COD14283",4
"COD14167",4
"COD14165",4
"COD14294",4
"COD14216",4
"COD13938",4
"COD13964",4
"COD13963",4
"COD13958",4
"COD13948",4
"COD13924",4
"COD14173",4
"COD14287",4
"COD14171",4
"COD13834",4
"COD13832",4
"COD13861",4
"COD13896",4
"COD13882",4
"COD13886",4
"COD13907",4
"COD13943",4
"COD13965",4
"COD13934",4
"COD13903",4
"COD13926",4
"COD13946",4
"COD13960",4
"COD14266",4
"COD14232",4
"COD14273",4
"COD13826",4
"COD13985",4
"COD13852",4
"COD14097",4
"COD14108",4
"COD14123",4
"COD14086",4
"COD14087",4
"COD14091",4
"COD14008",4
"COD13976",4
"COD13989",4
"COD14332",4
"COD14005",4
"COD13995",4
"COD13996",4
"COD13970",4
"COD13986",4
"COD13983",4
"COD14003",4
"COD14280",4
"COD14233",4
"COD14246",4
"COD14253",4
"COD14263",4
"COD14235",4
"COD14240",4
"COD14281",4
"COD14277",4
"COD14271",4
"COD14270",4
"COD14224",4
"COD14249",4
"COD14250",4
"COD14231",4
"COD14269",4
"COD14262",4
"COD13992",4
"COD14245",4
"COD14236",4
"COD14275",4
"COD14268",4
"COD14279",4
"COD14261",4
"COD14218",4
"COD14272",4
"COD14248",4
"COD14230",4
"COD14219",4
"COD14239",4
"COD14243",4
"COD14288",4
"COD13998",4
"COD13980",4
"COD13856",4
"COD13821",4
"COD13854",4
"COD13844",4
"COD13842",4
"COD13991",4
"COD13915",4
"COD13918",4
"COD13936",4
"COD13952",4
"COD14252",4
"COD14291",4
"COD14257",4
"COD14284",4
"COD14164",4
"COD14175",4
"COD14200",4
"COD14204",4
"COD14207",4
"COD14203",4
"COD14191",4
"COD14194",4
"COD14212",4
"COD14187",4
"COD14324",4
"COD14323",4
"COD14318",4
"COD14298",4
"COD14296",4
"COD14313",4
"COD14297",4
